"StandID","BA","QMD","BD_FT","TPH","VOL"
95,27.7510152101792,24.4088759040833,9550,593.0529144,67.2949859668363
95,11.9908746455669,29.709158000946,2350,172.9737667,22.6959525572982
82,25.3011546363074,41.6920724105835,14800,185.32903575,85.6443025696176
83,18.4315609614289,38.2241930007935,9450,160.61849765,58.1203276654456
102,33.9544870823471,45.3683596420288,23150,210.03957385,120.16253858627
102,30.0610193148795,39.356439781189,19250,247.105381,103.101638504208
101,24.0619472581835,49.7959866714478,15700,123.5526905,85.0071735209099
95,25.3406607479232,21.5945370292664,3300,691.8950668,45.2220040349411
83,29.9691723343363,23.914947719574,6750,667.1845287,68.0595408252855
83,40.7883367988175,48.3237557983398,21050,222.3948429,122.442044738313
83,27.5933130338232,36.7977442169189,14800,259.46065005,83.8603412332361
102,15.197132060186,34.7086808395386,4500,160.61849765,36.7127916288673
102,38.5566513360312,44.5721533966064,25900,247.105381,136.954428625543
101,25.1987935935178,48.5872668457031,15600,135.90795955,86.182322655193
104,16.5078956623772,32.6072974777222,4250,197.6843048,35.5801177644981
104,16.0351008946086,31.1774307823181,4400,210.03957385,35.6509098810212
83,49.9243545522736,58.5651849365234,32100,185.32903575,168.315336245266
83,42.0709823341582,43.4166570663452,38500,284.17118815,185.815147449771
83,26.5680282025446,30.7262543487549,18300,358.30280245,101.176092934781
102,9.87814275741941,31.9055743217468,3050,123.5526905,23.4321905691382
103,12.8695362111574,27.9309646987915,2350,210.03957385,23.1207052564367
104,5.09373650959922,32.4012804985046,950,61.77634525,9.18881672469529
104,13.5054793449464,34.0559735870361,2950,148.2632286,24.5365475868982
104,9.03378719503058,27.8530818557739,1700,148.2632286,17.2024843151075
83,40.3795862089768,58.8869773101807,44750,148.2632286,202.083175826773
103,12.7145286682791,30.5925076675415,2750,172.9737667,23.9985275013228
103,24.4219877722064,32.3827569198608,7300,296.5264572,56.8602279913348
104,10.6702844323089,29.083404045105,2150,160.61849765,20.0483273993352
104,9.07341590940453,34.1876588630676,2650,98.8421524,19.7651589332429
83,16.4569962515922,46.0425336074829,10500,98.8421524,60.753794400104
103,9.65827397680331,22.8876872634888,900,234.75011195,14.2150569978337
103,15.8515435480242,31.9524900627136,3050,197.6843048,29.6618968231689
103,24.3471142677968,39.5997727966309,10650,197.6843048,69.0931057265224
103,6.7647289086205,27.8312614822388,1250,111.19742145,13.393868446166
93,22.9285460603536,42.63296459198,9850,160.61849765,64.066865453384
92,18.2146346470087,41.3088254547119,8600,135.90795955,54.5665634159872
93,30.2408180111922,21.7297031974792,3850,815.4477573,53.0940873923072
93,19.9815996093853,45.377869720459,17450,123.5526905,86.2955900416299
92,30.1904212717157,39.4410567092896,16350,247.105381,99.505398984836
93,29.8093403729242,37.3674793052673,18550,271.8159191,101.445102977568
92,28.9388222576776,65.2710110855103,17600,86.48688335,91.9164840935622
93,14.3805731702745,38.4961289215088,6300,123.5526905,41.4558634359134
92,29.893610503013,45.3181834411621,21650,185.32903575,114.711545613993
93,24.2533336666106,47.6670516967773,20550,135.90795955,104.064411288922
93,30.8828326087122,37.1983447647095,16150,284.17118815,101.586687210614
